course,year,runs,wins,avg_field,median_winner_bsp
LIMERICK,2026,986,92,12.1,4.8
LINGFIELD,2022,2684,315,9.1,5.0
LINGFIELD,2023,2699,309,9.2,5.3
LINGFIELD,2024,2417,287,9.1,4.9
LINGFIELD,2025,3426,421,8.9,4.6
LINGFIELD,2026,3473,416,8.8,4.9
LISTOWEL,2025,891,72,13.7,5.9
LISTOWEL,2026,217,21,11.5,4.1
LUDLOW,2025,302,46,8.0,4.6
LUDLOW,2026,403,51,8.7,4.6
MARKET RASEN,2025,623,86,7.9,4.1
MARKET RASEN,2026,640,87,8.0,4.3
MUSSELBURGH,2022,576,74,8.7,4.5
MUSSELBURGH,2023,643,78,9.0,5.4
MUSSELBURGH,2024,597,73,8.9,5.4
MUSSELBURGH,2025,1003,126,8.7,5.5
MUSSELBURGH,2026,1067,120,8.6,5.5
NAAS,2025,1096,91,13.7,7.2
NAAS,2026,1157,109,12.6,5.3
NAVAN,2025,1168,91,14.8,6.0
NAVAN,2026,806,74,12.8,5.8
NEWBURY,2022,912,89,11.7,5.9
NEWBURY,2023,762,77,10.8,7.2
NEWBURY,2024,881,85,11.5,6.8
NEWBURY,2025,1600,164,10.8,6.4
NEWBURY,2026,1418,149,11.3,4.7
NEWCASTLE,2022,2785,304,10.2,5.6
NEWCASTLE,2023,3472,367,10.0,6.9
NEWCASTLE,2024,4148,435,10.1,5.9
NEWCASTLE,2025,5011,568,9.7,5.4
NEWCASTLE,2026,3716,318,10.3,5.6
NEWMARKET,2022,1646,198,9.8,4.8
NEWMARKET,2023,1881,195,10.7,6.1
NEWMARKET,2024,1706,182,10.5,5.3
NEWMARKET,2025,1940,218,10.0,5.4
NEWMARKET,2026,1724,195,9.3,5.3
NEWMARKET (JULY),2025,880,111,8.8,5.1
NEWTON ABBOT,2025,657,103,7.2,3.6
NEWTON ABBOT,2026,544,83,7.6,4.0
NOTTINGHAM,2022,461,55,9.3,5.6
NOTTINGHAM,2023,437,55,8.6,5.1
NOTTINGHAM,2024,440,50,9.5,6.3
NOTTINGHAM,2025,1018,124,8.9,5.2
